RMSE,MAE,R2,MAPE%,RMSLE,SMAPE%,store_nbr,group,family
4.473,2.868,0.681,2701717926.9306,0.6073,72.1857,,family,MAGAZINES
117.5353,60.4729,0.884,7302016952.1762,0.4129,19.8216,,family,MEATS
102.1921,60.397,0.8261,8257103789.1357,0.4264,20.7475,,family,PERSONAL CARE
5.0863,3.2366,0.7678,2340331742.3319,0.5741,64.631,,family,PET SUPPLIES
6.6062,4.2613,0.7198,1540528176.5349,0.5521,49.1389,,family,PLAYERS AND ELECTRONICS
156.5125,62.6657,0.87,8188318775.4057,0.4169,19.848,,family,POULTRY
29.1325,18.8288,0.9039,2978242285.7891,0.4057,24.4549,,family,PREPARED FOODS
486.6115,248.3623,0.9606,41775328680.9457,0.4476,14.2092,,family,PRODUCE
25.1221,5.1037,0.6966,8710706267.3853,0.835,130.383,,family,SCHOOL AND OFFICE SUPPLIES
10.4044,6.1185,0.8837,2427642749.4549,0.5906,57.2076,,family,SEAFOOD
